time,lon,lat,u10,v10,cdir,msl,msdwlwrf,r,rainfall,temp
07-07-1979,83,25.5,1.729064805,0.93960597,130.8487632,99771.44625,434.9516353,94.85268706,0,37.69707108
08-07-1979,83,25.5,-3.356846945,-0.006785885,130.8487632,99819.99706,441.0921496,94.44193912,0,39.54037476
09-07-1979,83,25.5,-3.929718807,-0.245811453,130.8487632,99943.86013,436.7309535,97.4075909,0,38.90832138
10-07-1979,83,25.5,-1.083959233,1.204028004,58.15500587,99798.50016,435.3622472,94.27918994,0,37.34454346
11-07-1979,83,25.5,-2.080161081,0.975459805,58.15500587,99768.81397,441.5711968,94.83718714,0,38.11794281
12-07-1979,83,25.5,-1.457441928,-0.936744733,58.15500587,99961.70109,447.0024725,96.97359308,24.84833336,35.46276855
13-07-1979,83,25.5,-1.194069669,0.93661815,0,100046.8113,443.7051345,94.07769095,7.057217121,32.31732178
14-07-1979,83,25.5,-2.09504087,-0.970357704,0,99975.0087,439.5741299,95.94026493,7.187627792,31.27776146
15-07-1979,83,25.5,0.409227554,1.986836737,0,100107.4998,425.5200043,92.66978136,26.17272758,30.93530655
16-07-1979,83,25.5,0.764110513,1.762003312,0,100301.5568,424.1264124,94.78293741,10.56195259,31.80651855
17-07-1979,83,25.5,1.485780261,1.48712391,0,100254.3221,435.1942696,72.02388504,8.17168045,33.03990936
18-07-1979,83,25.5,3.124044988,1.618587972,0,100179.1561,435.5737745,71.71130327,5.645170212,34.33408356
19-07-1979,83,25.5,1.27820721,1.460233534,0,100116.7127,430.8081879,95.03093617,42.93302155,32.21300888
20-07-1979,83,25.5,0.354916326,1.648466168,0,100072.2566,434.3730458,93.55327692,25.57769012,31.62697601
21-07-1979,83,25.5,1.192648425,1.301879095,0,100196.1196,445.092505,92.92036343,25.63024521,31.35845184
22-07-1979,83,25.5,1.464204567,1.638008799,0,100251.5436,442.9399032,94.05702439,2.190564156,31.19295883
23-07-1979,83,25.5,1.285647104,1.594685415,0,100151.371,438.0747743,96.38201272,9.424869537,31.60332298
24-07-1979,83,25.5,-0.61747786,0.022345356,0,100205.3326,441.7516172,97.11825902,2.592339277,33.46355438
25-07-1979,83,25.5,0.162223063,1.019530144,0,100331.243,431.3867774,71.32897186,14.39855385,33.03995132
26-07-1979,83,25.5,2.61069228,0.97770067,0,100095.3621,429.097305,92.79636405,18.92892647,32.67598343
27-07-1979,83,25.5,3.38220932,1.236147064,0,99789.72592,433.3216304,96.95550984,0.713310838,34.29759216
28-07-1979,83,25.5,1.017810909,1.469196992,0,99881.563,437.3219858,95.65093305,32.34061813,34.93903732
29-07-1979,83,25.5,-1.866636115,-0.588663751,0,99859.62739,436.0777073,95.76976579,1.334684849,31.95571518
30-07-1979,83,25.5,-2.159767951,-1.338606468,0,99948.10102,441.8324953,87.83380564,21.7218647,32.19556427
31-07-1979,83,25.5,-2.965508504,-0.357107733,0,99842.37138,426.5092057,63.70559347,0,33.8272171
01-08-1979,83,25.5,-3.455797539,-0.351879048,0,99783.87642,433.1287673,63.04684678,0,34.23676682
02-08-1979,83,25.5,-3.963198331,-0.796317212,0,99724.79652,429.4021532,72.08071808,0,34.72890091
03-08-1979,83,25.5,-3.880615504,-1.163072067,0,99833.01219,434.4601453,86.75656105,0,34.89959335
04-08-1979,83,25.5,-4.652876534,-0.648420143,0,99749.21816,432.7990335,92.71111448,7.339915752,33.81672668
05-08-1979,83,25.5,-3.599387499,-0.440766681,0,99555.89233,423.137211,92.59486507,0,34.11243439
06-08-1979,83,25.5,-0.898705865,0.243444005,0,99373.68054,429.5639094,94.68477124,0.32613641,35.02606964
07-08-1979,83,25.5,1.049058465,-0.433297132,0,99363.59016,424.7298874,94.71318776,2.425256968,35.19802856
08-08-1979,83,25.5,-3.320391463,-4.187492448,0,99414.48077,435.5737745,87.30939161,18.56448555,35.45423889
09-08-1979,83,25.5,-7.36397402,-0.30183307,0,99387.13438,430.0118496,81.30058845,0,32.48332977
10-08-1979,83,25.5,-3.543588292,2.070495685,0,99762.37953,418.1414328,73.79087616,0.26090911,32.37810898
11-08-1979,83,25.5,0.12725556,1.887491735,0,100038.1832,424.4499248,77.17502583,0,33.1815834
12-08-1979,83,25.5,2.455198489,0.997868452,0,100092.5836,434.2797249,93.47577731,0,34.78073502
13-08-1979,83,25.5,2.669467445,1.483389135,0,99915.63631,430.9388371,98.29108646,0.39136368,33.14655685
14-08-1979,83,25.5,4.402962819,0.898523451,0,99858.31126,418.7200223,85.61215013,0,32.93929291
15-08-1979,83,25.5,3.719980522,1.48712391,0,99833.30466,429.8314293,95.31251809,0,31.54772949
16-08-1979,83,25.5,1.951517645,1.466956128,0,99961.55486,424.8792009,93.31044481,3.873827934,32.13045883
17-08-1979,83,25.5,1.240263749,-0.504257847,0,100135.7236,441.2787914,95.4416841,36.56893921,29.71048355
18-08-1979,83,25.5,1.697073259,0.981435444,0,100020.781,440.0718413,94.41868924,29.17098427,29.55648041
19-08-1979,83,25.5,3.08238158,1.105429957,0,99858.74997,435.0636203,94.16035721,25.56679726,32.2591095
20-08-1979,83,25.5,4.436442344,1.236147064,0,99756.96874,422.1169026,91.63645321,2.764079571,33.26459122
21-08-1979,83,25.5,4.446858196,1.714198199,0,99971.93771,410.3024783,89.5026306,0,32.98304749
22-08-1979,83,25.5,4.496705488,0.747638561,0,100104.575,413.9171073,100.2130768,0,33.37744141
23-08-1979,83,25.5,3.191004036,0.235974456,0,100266.6061,413.4878313,97.26550828,0,33.11684799
24-08-1979,83,25.5,3.268378937,1.220461011,0,100333.8753,404.970745,91.33937137,0,34.23521423
25-08-1979,83,25.5,3.811491222,0.79619063,0,100214.3993,415.4911196,89.28821501,0,34.61027145
26-08-1979,83,25.5,3.724444458,0.417484496,0,100112.6181,408.728466,80.17167745,0,34.75469971
27-08-1979,83,25.5,1.755104435,1.018036234,0,100322.03,406.1776951,90.59020847,0,34.69832611
28-08-1979,83,25.5,1.268535347,1.593191505,0,100610.7026,409.4377048,83.87099221,0,35.20345688
29-08-1979,83,25.5,1.302758861,1.422138834,0,100622.1092,407.7828144,91.64420317,0,36.22294617
30-08-1979,83,25.5,2.325744328,2.459659187,0,100490.4955,410.408242,93.50161051,0,36.52975464
